,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,Dowload Rate,Upload Rate,State
0,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
847,2019.11.26_14.06.01,-8.394878,51.886015,5G,-100,-11,2.0,15,-85,0,0,I
848,2019.11.26_14.06.02,-8.394878,51.886015,5G,-100,-11,2.0,15,-85,0,0,I
849,2019.11.26_14.06.04,-8.394878,51.886015,5G,-100,-10,9.0,15,-85,15,27,D
850,2019.11.26_14.06.05,-8.394878,51.886015,5G,-100,-10,9.0,15,-85,0,0,I
851,2019.11.26_14.06.06,-8.394878,51.886015,5G,-100,-13,-2.0,15,-85,0,0,I
852,2019.11.26_14.06.07,-8.394878,51.886015,5G,-100,-13,-2.0,15,-85,0,0,I
853,2019.11.26_14.06.08,-8.394878,51.886015,5G,-100,-11,7.0,15,-85,0,0,I
854,2019.11.26_14.06.09,-8.394878,51.886015,5G,-100,-11,7.0,15,-85,0,0,I
855,2019.11.26_14.06.10,-8.394878,51.886015,5G,-100,-11,1.0,14,-87,0,0,I
856,2019.11.26_14.06.11,-8.394878,51.886015,5G,-100,-11,1.0,14,-87,0,0,I
857,2019.11.26_14.06.12,-8.394878,51.886015,5G,-101,-10,9.0,15,-85,0,0,I
858,2019.11.26_14.06.13,-8.394878,51.886015,5G,-101,-10,9.0,15,-85,0,0,I
859,2019.11.26_14.06.14,-8.394878,51.886015,5G,-101,-10,6.0,15,-85,0,0,I
860,2019.11.26_14.06.15,-8.394878,51.886015,5G,-101,-10,6.0,15,-85,0,0,I
861,2019.11.26_14.06.16,-8.394878,51.886015,5G,-100,-11,9.0,15,-85,2,4,D
862,2019.11.26_14.06.17,-8.394878,51.886015,5G,-100,-11,9.0,15,-85,2,4,D
863,2019.11.26_14.06.19,-8.394878,51.886015,5G,-101,-12,7.0,15,-85,0,0,D
864,2019.11.26_14.06.20,-8.394878,51.886015,5G,-101,-12,7.0,15,-85,2,4,D
865,2019.11.26_14.06.21,-8.394878,51.886015,5G,-100,-12,7.0,15,-85,0,0,D
866,2019.11.26_14.06.22,-8.394878,51.886015,5G,-100,-12,7.0,15,-85,0,0,I
867,2019.11.26_14.06.23,-8.394878,51.886015,5G,-100,-12,10.0,15,-85,21842,242,D
868,2019.11.26_14.06.24,-8.394878,51.886015,5G,-100,-12,10.0,15,-85,5647,60,D
869,2019.11.26_14.06.25,-8.394878,51.886015,5G,-101,-13,6.0,15,-85,0,0,I
870,2019.11.26_14.06.26,-8.394878,51.886015,5G,-101,-13,6.0,15,-85,0,0,I
871,2019.11.26_14.06.27,-8.394878,51.886015,5G,-100,-12,-9.0,15,-85,0,0,I
872,2019.11.26_14.06.28,-8.394878,51.886015,5G,-100,-12,-9.0,15,-85,0,0,D
873,2019.11.26_14.06.29,-8.394878,51.886015,5G,-101,-11,4.0,15,-85,0,0,I
874,2019.11.26_14.06.30,-8.394878,51.886015,5G,-101,-11,4.0,15,-85,0,0,I
875,2019.11.26_14.06.32,-8.394878,51.886015,5G,-100,-12,7.0,15,-85,1,2,D
876,2019.11.26_14.06.33,-8.394878,51.886015,5G,-100,-12,7.0,15,-85,0,0,I
877,2019.11.26_14.06.34,-8.394878,51.886015,5G,-100,-11,6.0,14,-87,0,0,I
878,2019.11.26_14.06.35,-8.394878,51.886015,5G,-100,-11,6.0,14,-87,0,0,I
879,2019.11.26_14.06.36,-8.394878,51.886015,5G,-101,-13,6.0,14,-87,0,0,D
880,2019.11.26_14.06.37,-8.394878,51.886015,5G,-101,-13,6.0,14,-87,2,4,D
881,2019.11.26_14.06.38,-8.394878,51.886015,5G,-100,-12,6.0,14,-87,0,0,I
882,2019.11.26_14.06.39,-8.394878,51.886015,5G,-100,-12,6.0,14,-87,14,6,D
883,2019.11.26_14.06.40,-8.394878,51.886015,5G,-100,-15,10.0,14,-87,1,2,D
884,2019.11.26_14.06.41,-8.394878,51.886015,5G,-100,-15,10.0,14,-87,2,4,D
885,2019.11.26_14.06.42,-8.394878,51.886015,5G,-100,-14,7.0,14,-87,0,0,I
886,2019.11.26_14.06.43,-8.394878,51.886015,5G,-100,-14,7.0,14,-87,0,0,I
887,2019.11.26_14.06.45,-8.394878,51.886015,5G,-101,-13,4.0,14,-87,0,0,I
888,2019.11.26_14.06.46,-8.394878,51.886015,5G,-101,-13,4.0,14,-87,0,0,I
889,2019.11.26_14.06.47,-8.394878,51.886015,5G,-100,-12,8.0,14,-87,0,0,I
890,2019.11.26_14.06.48,-8.394878,51.886015,5G,-100,-12,8.0,14,-87,0,0,I
891,2019.11.26_14.06.49,-8.394878,51.886015,5G,-101,-13,7.0,14,-87,0,0,I
892,2019.11.26_14.06.50,-8.394878,51.886015,5G,-101,-13,7.0,11,-85,0,0,I
893,2019.11.26_14.06.51,-8.394878,51.886015,5G,-100,-12,1.0,11,-85,0,0,I
894,2019.11.26_14.06.52,-8.394878,51.886015,5G,-100,-12,1.0,11,-85,0,0,I
895,2019.11.26_14.06.53,-8.394878,51.886015,5G,-101,-10,7.0,11,-85,0,0,I
896,2019.11.26_14.06.54,-8.394878,51.886015,5G,-101,-10,7.0,11,-85,0,0,I
897,2019.11.26_14.06.55,-8.394878,51.886015,5G,-101,-11,6.0,11,-85,0,0,I
898,2019.11.26_14.06.56,-8.394878,51.886015,5G,-101,-11,6.0,11,-85,0,0,I
899,2019.11.26_14.06.58,-8.394878,51.886015,5G,-101,-11,5.0,11,-85,2,4,D
900,2019.11.26_14.06.59,-8.394878,51.886015,5G,-101,-11,5.0,11,-85,0,0,I
901,2019.11.26_14.07.00,-8.394878,51.886015,5G,-100,-11,8.0,11,-85,2,4,D
902,2019.11.26_14.07.01,-8.394878,51.886015,5G,-100,-11,8.0,11,-85,0,0,I
903,2019.11.26_14.07.02,-8.394878,51.886015,5G,-100,-11,8.0,15,-87,2,4,D
904,2019.11.26_14.07.03,-8.394878,51.886015,5G,-100,-11,8.0,15,-87,0,26,D
905,2019.11.26_14.07.04,-8.394878,51.886015,5G,-101,-12,9.0,14,-85,14,0,D
906,2019.11.26_14.07.05,-8.394878,51.886015,5G,-101,-12,9.0,14,-85,0,0,I
907,2019.11.26_14.07.06,-8.394878,51.886015,5G,-100,-10,5.0,14,-85,0,0,I
908,2019.11.26_14.07.07,-8.394878,51.886015,5G,-100,-10,5.0,14,-85,0,0,I
909,2019.11.26_14.07.08,-8.394878,51.886015,5G,-100,-11,6.0,14,-85,1622,22,D
910,2019.11.26_14.07.09,-8.394878,51.886015,5G,-100,-11,6.0,14,-85,30174,273,D
911,2019.11.26_14.07.10,-8.394878,51.886015,5G,-101,-12,1.0,14,-85,0,0,D
912,2019.11.26_14.07.12,-8.394878,51.886015,5G,-101,-12,1.0,14,-85,0,0,I
913,2019.11.26_14.07.13,-8.394878,51.886015,5G,-100,-15,7.0,14,-85,0,0,I
914,2019.11.26_14.07.14,-8.394878,51.886015,5G,-100,-15,7.0,14,-85,0,0,I
915,2019.11.26_14.07.15,-8.394878,51.886015,5G,-101,-12,9.0,14,-85,0,0,I
916,2019.11.26_14.07.16,-8.394878,51.886015,5G,-101,-12,9.0,14,-85,0,0,I
917,2019.11.26_14.07.17,-8.394878,51.886015,5G,-101,-13,0.0,14,-85,0,0,I
918,2019.11.26_14.07.18,-8.394878,51.886015,5G,-101,-13,0.0,14,-87,0,0,I
919,2019.11.26_14.07.19,-8.394878,51.886015,5G,-101,-11,0.0,14,-87,2,4,D
920,2019.11.26_14.07.20,-8.394878,51.886015,5G,-101,-11,0.0,14,-87,0,0,I
921,2019.11.26_14.07.21,-8.394878,51.886015,5G,-101,-12,6.0,14,-87,2,4,D
922,2019.11.26_14.07.22,-8.394878,51.886015,5G,-101,-12,6.0,14,-87,0,0,I
923,2019.11.26_14.07.23,-8.394878,51.886015,5G,-102,-14,2.0,14,-87,2,4,D
924,2019.11.26_14.07.24,-8.394878,51.886015,5G,-102,-14,2.0,14,-87,0,0,I
925,2019.11.26_14.07.26,-8.394878,51.886015,5G,-102,-14,-2.0,11,-,0,0,I
926,2019.11.26_14.07.27,-8.394878,51.886015,5G,-102,-14,-2.0,11,-,0,0,I
927,2019.11.26_14.07.28,-8.394878,51.886015,5G,-101,-12,5.0,14,-85,0,0,I
928,2019.11.26_14.07.29,-8.394878,51.886015,5G,-101,-12,5.0,15,-88,0,0,I
929,2019.11.26_14.07.30,-8.394878,51.886015,5G,-101,-11,4.0,15,-88,0,0,I
930,2019.11.26_14.07.31,-8.394878,51.886015,5G,-101,-11,4.0,15,-86,0,0,I
931,2019.11.26_14.07.32,-8.394878,51.886015,5G,-101,-13,8.0,15,-86,0,0,I
932,2019.11.26_14.07.33,-8.394878,51.886015,5G,-101,-13,8.0,15,-86,0,0,I
933,2019.11.26_14.07.34,-8.394878,51.886015,5G,-101,-12,7.0,15,-86,0,0,I
934,2019.11.26_14.07.35,-8.394878,51.886015,5G,-101,-12,7.0,14,-,0,0,I
935,2019.11.26_14.07.36,-8.394878,51.886015,5G,-101,-11,2.0,14,-,0,0,I
