Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ
2019.12.03_09.18.42,-8.482086,51.900862,0,B,13,5G,-80,-10,1.0,14,-70,0,0,I,,,,,,D,A992,9CBA,11112973,-81.0,-11.0
2019.12.03_09.18.43,-8.482086,51.900862,0,B,13,5G,-81,-10,3.0,14,-70,0,0,I,,,,,,D,A992,9CBA,11112973,-82.0,-11.0
2019.12.03_09.18.44,-8.482086,51.900862,0,B,13,5G,-81,-10,3.0,10,-72,0,0,I,,,,,,D,A992,9CBA,11112973,-82.0,-11.0
2019.12.03_09.18.45,-8.482086,51.900862,0,B,13,5G,-81,-11,-2.0,10,-72,0,0,I,,,,,,D,A992,9CBA,11112973,-82.0,-11.0
2019.12.03_09.18.46,-8.482086,51.900862,0,B,13,5G,-81,-11,-2.0,10,-72,0,0,I,,,,,,D,A992,9CBA,11112973,-82.0,-11.0
2019.12.03_09.18.47,-8.482086,51.900862,0,B,13,5G,-79,-11,4.0,15,-61,0,0,I,,,,,,D,A992,9CBA,11112973,-82.0,-13.0
2019.12.03_09.18.48,-8.482086,51.900862,0,B,13,5G,-79,-11,4.0,15,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-82.0,-13.0
2019.12.03_09.18.49,-8.482086,51.900862,0,B,13,5G,-80,-9,1.0,15,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-81.0,-10.0
2019.12.03_09.18.50,-8.482086,51.900862,0,B,13,5G,-80,-9,1.0,15,-71,2,4,D,,,,,,D,A992,9CBA,11112973,-81.0,-10.0
2019.12.03_09.18.51,-8.482086,51.900862,0,B,13,5G,-79,-10,3.0,15,-71,0,0,I,,,,,,D,A992,9CBA,11112973,-81.0,-10.0
2019.12.03_09.18.52,-8.482086,51.900862,0,B,13,5G,-79,-10,3.0,15,-71,2,4,D,,,,,,D,A992,9CBA,11112973,-81.0,-10.0
