,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,Dowload Rate,Upload Rate,State
0,Timestamp,Longitude,Latitude,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
1655,2019.12.16_13.33.36,-8.394601,51.886139,5G,-100,-12,-7.0,10,-87,0,0,I
1656,2019.12.16_13.33.37,-8.394601,51.886139,5G,-100,-12,-7.0,14,-85,0,0,I
1657,2019.12.16_13.33.39,-8.394601,51.886139,5G,-101,-13,-4.0,14,-85,0,0,I
1658,2019.12.16_13.33.40,-8.394601,51.886139,5G,-101,-13,-4.0,11,-83,0,0,I
1659,2019.12.16_13.33.41,-8.394601,51.886139,5G,-101,-11,-1.0,11,-83,0,0,I
1660,2019.12.16_13.33.42,-8.394601,51.886139,5G,-101,-11,-1.0,15,-87,0,0,I
1661,2019.12.16_13.33.43,-8.394601,51.886139,5G,-101,-14,-2.0,15,-87,0,0,I
1662,2019.12.16_13.33.44,-8.394601,51.886139,5G,-101,-14,-2.0,15,-87,0,0,I
1663,2019.12.16_13.33.45,-8.394601,51.886139,5G,-100,-13,9.0,15,-87,2,4,D
1664,2019.12.16_13.33.46,-8.394601,51.886139,5G,-100,-13,9.0,15,-87,0,0,D
1665,2019.12.16_13.33.47,-8.394601,51.886139,5G,-100,-13,0.0,10,-82,2,4,D
1666,2019.12.16_13.33.48,-8.394601,51.886139,5G,-100,-13,0.0,12,-88,0,0,I
1667,2019.12.16_13.33.49,-8.394601,51.886139,5G,-99,-11,1.0,12,-88,2,4,D
1668,2019.12.16_13.33.50,-8.394601,51.886139,5G,-99,-11,1.0,12,-88,0,0,I
1669,2019.12.16_13.33.51,-8.394601,51.886139,5G,-100,-8,1.0,12,-88,0,0,I
1670,2019.12.16_13.33.53,-8.394601,51.886139,5G,-100,-8,1.0,12,-88,0,0,I
1671,2019.12.16_13.33.54,-8.394601,51.886139,5G,-101,-9,-1.0,12,-88,0,0,I
1672,2019.12.16_13.33.55,-8.394601,51.886139,5G,-101,-9,-1.0,12,-88,0,0,I
1673,2019.12.16_13.33.56,-8.394601,51.886139,5G,-101,-9,-6.0,12,-88,0,0,I
1674,2019.12.16_13.33.57,-8.394601,51.886139,5G,-101,-9,-6.0,12,-88,0,0,I
